"1";"404 sayfa bulunmadı";""
"2";"Debug Çağrılarına İzin Ver";""
"3";"Özel Sunucu";""
"4";"Beyaz liste";""
"5";"Kara liste";""
"6";"Yönetici";""
"7";"Maksimum Yuva";""
"8";"Dirilme konumu";""
"9";"İtibar";""
"10";"Atık Kullan";""
"11";"Bağlantı Konfigürasyonu";""
"12";"Herkese açık sunucu";""
"13";"IP adresi";""
"14";"Oyun sunucu portu";""
"15";"Site sunucu portu";""
"16";"Oran";""
"17";"Sunucu tarayıcı hizmeti";""
"18";"KAYDET";""
"19";"Sebep & Sonuç Kâşifi";""
"20";"Kategori Seç";""
"21";"Katman Seç";""
"22";"Haritalar, 50,50 noktasını merkez almış 400 metrekare alanı gösteriyor";"50"
"23";"Çevre Seçimleri";""
"24";"Menüden bir seçim seç ya da ofis için aday ol";""
"25";"Adaylar";""
"26";"Seçilen yetkililer 15 mülke sahip olma hakkı kazanacak";""
"27";"Bir Hazine kurulduğu zaman, Hazine çeşitli vergi düzenlemeleri yapabilir (yapım aşamasında)";" they can set taxes (feature in progress)"
"28";"Bu seçim";""
"29";"Alternatif Oylama kullanır";""
"30";"Oy Kullan";""
"31";"Ofis İçin Adaylığını Koy";""
"32";"Adaylıktan Çekil";""
"33";"Mevcut Sonuçlar";""
"34";"Henüz kimse oy kullanmadı";""
"35";"Etap başına oy sayısı";""
"36";"Tüm Oylara Göz At";""
"37";"Tartışma";""
"38";"Gün";""
"39";"Cevabını yaz";""
"40";"Grafiği Kaldır";""
"41";"Haritayı Kaldır";""
"42";"Gönder";""
"43";"İptal Et";""
"44";"Yeni bir seçim başlatmak için, kendini bir aday olarak eklemelisin";" you must add yourself as a candidate"
"45";"Lütfen niye seçilmen gerektiğini açıkla";""
"46";"Konuşmanı Hazırla";""
"49";"Bilimsel Veriler";""
"50";"Sebep & Sonuç";""
"51";"Ofis İçin Adaylığını Koy";""
"52";"Devam Eden Seçim";""
"53";"Önceki Seçimler";""
"56";"Etkin Kanunlar";""
"57";"Teklif Edilen Kanunlar";""
"59";"Harita Katmanı Seç";""
"60";"Veriler";""
"61";"Grafik";""
"62";"Çizgiler";""
"63";"Çubuklar";""
"64";"Gün";""
"65";"Dünyayı şekillendiren global etkilere ve bu etkilerin birbirlerini nasıl etkilediklerine göz at";""
"66";"Yukarıdan bir kategori seç ve en alttaki zaman çubuğunu kullanarak geçmişe göz at";""
"67";"Sebep & Sonuç Keşfi";""
"68";"Kullanıcı Konfigürasyonu";""
"69";"Kimlik Doğrulama İste";""
"70";"günler/saniye";""
"71";"Oyun İçi Eylemleri";""
"72";"Çevresel Kanunlar";""
"73";"Menüden yeni bir kanun seç";""
"74";"Kanun Bilgisi";""
"75";"Muhakeme";""
"76";"Mevcut Sonuçlar";""
"77";"Bu kanun kabul edildi";""
"78";"Evet";""
"79";"Hayır";""
"80";"Grafik Ekle";""
"81";"Harita Ekle";""
"82";"İptal Et";""
"83";"Kanun İsmi";""
"84";"Bucak Ekle";""
"85";"Bucağı Sil";""
"86";"Yeni Bucak Ekle";""
"87";"Bucak çizmek için sağ tıka basılı tut";""
"88";"Muhakeme";""
"89";"Kanun Teklif Et";""
"90";"Katman Seçim Açılır Listesi";""
"91";"Yüzey";""
"92";"Sıcaklık";""
"93";"Yükseklik";""
"94";"tüm seçenekleri barındıran liste açılır listeye sonra eklenebilir";""
"95";"İsim yahut Numara ile Katman Seç";""
"96";"Kanunla ilgili tartışmalar buradan yapılır, haritalar metinlerle daha uyumlu olacak şekilde daha sonra ayarlanabilir";" maps can be resized to fit with text better later"
"97";"Öğrenci İlerlemesi";""
"98";"Henüz kurulan bir bucak yok";""
"99";"Etkin Bucaklar";""
"100";"Her Sene İçerisinde Aday Sıralamaları";""
"101";"Etkin Kanun Bulunmuyor";""
"102";"Teklif Edilen Kanun Bulunmuyor";""
"103";"Çevrimiçi Oyuncular";""
"104";"Vakit";""
"105";"Meteor Darbesi";""
"106";"Bitkiler";""
"107";"Dünya Boyutu";""
"108";"Önceden Hazırlanmış Grafikler";""
"109";"Kaydedilmiş Grafiklerim";""
